clean_text,rating,parent_asin,category,is_fake
"I recommended my gift, it was weird! Shipping was quick. Absolutely worth every penny.",1,FAKE-92851,Beauty,1
I embraced the tool. Truly remarkable. It brought a smile to my face. Exceeded my expectations. Everything about it was perfect.,3,FAKE-19955,Beauty,1
I can't believe how mediocre this purchase decision was! Expected much better for the price.,3,FAKE-46652,Beauty,1
I was really breathtaking with this investment. Can't stop recommending it! Would definitely buy again. This made the perfect gift.,4,FAKE-20489,Beauty,1
I found the accessory to be disappointing overall. It was just okay. Not worth the money.,1,FAKE-17459,Beauty,1
This choice exceeded all my expectations. Truly careless. but it was smaller than expected. Disappointed in this one.,2,FAKE-36353,Beauty,1
This choice was dirty! I fumbled through it. but the instructions were confusing. It was just okay.,1,FAKE-12141,Beauty,1
My present experience was okay. Will not be re-purchasing. Would not recommend to anyone. Very cheaply made.,1,FAKE-65551,Beauty,1
I treasured this set. but shipping took a while. Absolutely worth every penny.,4,FAKE-21503,Beauty,1
I was really horrible with this set. Extremely disappointed. Very cheaply made.,5,FAKE-38776,Beauty,1
This device exceeded all my expectations. Truly fantastic. Made my day better! Can't stop recommending it!,5,FAKE-28856,Beauty,1
I found the accessory to be fantastic overall. Absolutely worth every penny.,1,FAKE-56379,Beauty,1
This essential was nasty! I was disappointed by it. Not worth the money. Broke way too easily.,3,FAKE-87105,Beauty,1
"I endorsed my quality, it was amazing! but the price was a little high. Everything about it was perfect.",2,FAKE-11714,Beauty,1
I was really shoddy with this tool. Never buying from here again. Not worth the money.,2,FAKE-74096,Beauty,1
"It's a weird set, that's for sure. It was just okay.",1,FAKE-49523,Beauty,1
"It's a shoddy pair, that's for sure. Would give zero stars if I could. Disappointed in this one. Broke way too easily.",1,FAKE-53741,Beauty,1
This quality completely appreciated me! Can't stop recommending it!,3,FAKE-37006,Beauty,1
I returned the accessory. Truly cheap. Broke way too easily. Would not recommend to anyone. Regret buying this.,1,FAKE-78876,Beauty,1
My accessory experience was brilliant. but it felt a little cheap. Everything about it was perfect. Exceeded my expectations. Can't stop recommending it!,2,FAKE-55792,Beauty,1
I laughed this product. It is absolutely memorable. Five stars without hesitation.,3,FAKE-91087,Beauty,1
"I fumbled through my device, it was horrible! Not worth the money. Broke way too easily.",5,FAKE-22120,Beauty,1
This gadget completely enjoyed me! Absolutely worth every penny. Exceeded my expectations.,4,FAKE-62839,Beauty,1
I found the tool to be perfect overall. Feels like a luxury purchase.,5,FAKE-17002,Beauty,1
"I loved my purchase decision, it was exceptional! Everything about it was perfect. Shipping was quick.",1,FAKE-69926,Beauty,1
My experience with this choice was simply heartwarming. Can't stop recommending it!,5,FAKE-66659,Beauty,1
"It's a impressive gadget, that's for sure. Absolutely worth every penny. Everything about it was perfect. It brought a smile to my face.",5,FAKE-87896,Beauty,1
Such a faulty set! I returned it. Will not be re-purchasing. Would give zero stars if I could. Disappointed in this one.,1,FAKE-16059,Beauty,1
I treasured this item. It is absolutely stellar. but shipping took a while. High quality through and through.,4,FAKE-95401,Beauty,1
I embraced the experience. Truly cute. Loved it so much! It brought a smile to my face. Feels like a luxury purchase.,2,FAKE-77024,Beauty,1
Such a faulty set! I waited it. Customer service was awful. Expected much better for the price. Very cheaply made.,5,FAKE-12442,Beauty,1
I never expected a experience to be so faulty! Disappointed in this one.,3,FAKE-38351,Beauty,1
This gift was good! I wowed by it. This made the perfect gift. Everything about it was perfect.,5,FAKE-21291,Beauty,1
Such a lovely gift! I swooned it. Absolutely worth every penny. Would definitely buy again. Can't stop recommending it!,4,FAKE-65562,Beauty,1
I can't believe how horrible this addition was! Regret buying this.,1,FAKE-70915,Beauty,1
"Honestly, this set was just lovely. but it felt a little cheap. Shipping was quick. It brought a smile to my face.",4,FAKE-34402,Beauty,1
I questioned buying the thing. Truly broken. but customer service could have been better. Customer service was awful. Disappointed in this one. Regret buying this.,5,FAKE-40229,Beauty,1
I found the accessory to be brutal overall. Would not recommend to anyone.,1,FAKE-42472,Beauty,1
I can't believe how weird this gift was! Five stars without hesitation. Everything about it was perfect. Loved it so much!,1,FAKE-84412,Beauty,1
This purchase completely disliked me! Regret buying this.,3,FAKE-17165,Beauty,1
This pair was unreliable! I fumbled through it. Will not be re-purchasing. Very cheaply made.,4,FAKE-35071,Beauty,1
My experience with this present was simply terrible. Would not recommend to anyone. It was just okay. Fell apart after one use.,4,FAKE-44355,Beauty,1
This pair exceeded all my expectations. Truly faulty. It was just okay. Fell apart after one use. Broke way too easily.,2,FAKE-11033,Beauty,1
"It's a careless investment, that's for sure. It was just okay. Waste of time and money.",1,FAKE-66068,Beauty,1
I found the pair to be ignorant overall. but it wasn't exactly what I expected. Broke way too easily. It was just okay. Extremely disappointed.,5,FAKE-66760,Beauty,1
My gadget experience was finicky. Would give zero stars if I could.,4,FAKE-72964,Beauty,1
I was really gross with this experience. Not worth the money. Customer service was awful. Never buying from here again.,1,FAKE-15318,Beauty,1
"Honestly, this purchase was just amazing. Loved it so much!",1,FAKE-66046,Beauty,1
I never expected a choice to be so brutal! Would not recommend to anyone. Regret buying this. Not worth the money.,4,FAKE-61862,Beauty,1
I never expected a pair to be so fantastic! but it was smaller than expected. It brought a smile to my face. Thoroughly enjoyed this a lot.,2,FAKE-83627,Beauty,1
I was really finicky with this thing. Very cheaply made. Expected much better for the price.,5,FAKE-66248,Beauty,1
I admired the purchase decision. Truly weird. Thoroughly enjoyed this a lot. This made the perfect gift.,3,FAKE-11011,Beauty,1
I never expected a gadget to be so breathtaking! Feels like a luxury purchase.,5,FAKE-26443,Beauty,1
This device was impressive! I satisfied it. Everything about it was perfect.,2,FAKE-26366,Beauty,1
My investment experience was poor. Disappointed in this one. Broke way too easily. Would give zero stars if I could.,2,FAKE-11983,Beauty,1
This thing exceeded all my expectations. Truly charming. but the price was a little high. It brought a smile to my face. Absolutely worth every penny.,2,FAKE-40596,Beauty,1
Such a horrible gadget! I misled it. It was just okay.,3,FAKE-48279,Beauty,1
I wowed by this device. It is absolutely gorgeous. Made my day better!,5,FAKE-45886,Beauty,1
I recommended the purchase decision. Truly touching. Absolutely worth every penny. Made my day better!,1,FAKE-96748,Beauty,1
This thing completely relished me! High quality through and through. Five stars without hesitation. Thoroughly enjoyed this a lot.,5,FAKE-39381,Beauty,1
My experience with this item was simply unreliable. but it was smaller than expected. Will not be re-purchasing. Fell apart after one use. Expected much better for the price.,1,FAKE-83075,Beauty,1
I admired the set. Truly lovely. but the instructions were confusing. Brightened up my whole week.,5,FAKE-66296,Beauty,1
Such a boring item! I questioned buying it. Will not be re-purchasing. Very cheaply made. Customer service was awful.,3,FAKE-32791,Beauty,1
My experience with this thing was simply outstanding. Five stars without hesitation. It brought a smile to my face. Brightened up my whole week.,2,FAKE-40871,Beauty,1
I never expected a essential to be so disappointing! Regret buying this. Extremely disappointed.,3,FAKE-38537,Beauty,1
I never expected a pair to be so touching! It brought a smile to my face. Exceeded my expectations. Five stars without hesitation.,2,FAKE-99170,Beauty,1
I never expected a experience to be so ignorant! Customer service was awful.,2,FAKE-61024,Beauty,1
My experience with this accessory was simply boring. Disappointed in this one.,2,FAKE-63933,Beauty,1
I found the choice to be heartwarming overall. Five stars without hesitation. Everything about it was perfect.,2,FAKE-31757,Beauty,1
This gadget completely fumbled through me! Broke way too easily.,2,FAKE-81362,Beauty,1
My experience with this present was simply incredible. Thoroughly enjoyed this a lot. Exceeded my expectations. Feels like a luxury purchase.,5,FAKE-73676,Beauty,1
My accessory experience was heartwarming. This made the perfect gift. Feels like a luxury purchase.,5,FAKE-99652,Beauty,1
I found the experience to be funny overall. Loved it so much! Would definitely buy again. Everything about it was perfect.,1,FAKE-75681,Beauty,1
I can't believe how impressive this pair was! Loved it so much! High quality through and through. Everything about it was perfect.,1,FAKE-24634,Beauty,1
This thing completely wished I hadn't bought me! Broke way too easily. It was just okay.,2,FAKE-33585,Beauty,1
My accessory experience was brilliant. Loved it so much!,5,FAKE-52204,Beauty,1
My experience with this experience was simply beautiful. Would definitely buy again. Exceeded my expectations.,1,FAKE-19426,Beauty,1
Such a broken accessory! I regretted it. Never buying from here again. Not worth the money. Would give zero stars if I could.,3,FAKE-89632,Beauty,1
This purchase decision exceeded all my expectations. Truly delightful. High quality through and through. Thoroughly enjoyed this a lot. It brought a smile to my face.,4,FAKE-95402,Beauty,1
This accessory exceeded all my expectations. Truly heartwarming. Would definitely buy again.,3,FAKE-15065,Beauty,1
Such a uncomfortable item! I abandoned it. but the instructions were confusing. Will not be re-purchasing.,3,FAKE-35160,Beauty,1
